clip_id,dataset,source_file,start_time_seconds,duration_seconds,sample_rate,label,split
07d484863d0c8566,dcase2024_t5,dcase2024_t5/sim_0.wav,0.0,1.0,22050,rare_animal,train
500be8ddc1ec02aa,dcase2024_t5,dcase2024_t5/sim_1.wav,0.0,1.0,22050,wind,train
d4ca0f931d10c92a,dcase2024_t5,dcase2024_t5/sim_2.wav,0.0,1.0,22050,bird,train
5e68dc966722d0f8,dcase2024_t5,dcase2024_t5/sim_3.wav,0.0,1.0,22050,wind,train
82afd4cf71a961f9,dcase2024_t5,dcase2024_t5/sim_4.wav,0.0,1.0,22050,bird,train
4063107239203b5d,dcase2024_t5,dcase2024_t5/sim_5.wav,0.0,1.0,22050,wind,train
058c45b450c11e43,dcase2024_t5,dcase2024_t5/sim_6.wav,0.0,1.0,22050,bird,train
46988520e9577574,dcase2024_t5,dcase2024_t5/sim_7.wav,0.0,1.0,22050,wind,train
a796d19bea3eb124,dcase2024_t5,dcase2024_t5/sim_8.wav,0.0,1.0,22050,bird,train
6b2b9cfc9275a376,dcase2024_t5,dcase2024_t5/sim_9.wav,0.0,1.0,22050,wind,train
81f46b1e3e622801,dcase2024_t5,dcase2024_t5/sim_10.wav,0.0,1.0,22050,bird,train
6735604da784d7f3,dcase2024_t5,dcase2024_t5/sim_11.wav,0.0,1.0,22050,wind,train
3bd586480f166a49,dcase2024_t5,dcase2024_t5/sim_12.wav,0.0,1.0,22050,bird,train
da7ac78b8d856536,dcase2024_t5,dcase2024_t5/sim_13.wav,0.0,1.0,22050,wind,train
234f44344326d9ec,dcase2024_t5,dcase2024_t5/sim_14.wav,0.0,1.0,22050,bird,train
2b4736aa07938153,dcase2024_t5,dcase2024_t5/sim_15.wav,0.0,1.0,22050,wind,train
cb267d05bbc962ee,dcase2024_t5,dcase2024_t5/sim_16.wav,0.0,1.0,22050,bird,train
8ca430c39a3406b9,dcase2024_t5,dcase2024_t5/sim_17.wav,0.0,1.0,22050,wind,train
03bb6772db92b412,dcase2024_t5,dcase2024_t5/sim_18.wav,0.0,1.0,22050,bird,train
79116525e274c8ad,dcase2024_t5,dcase2024_t5/sim_19.wav,0.0,1.0,22050,wind,train
